data_structure,sample,iteration,user,runtime
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.637051820755005
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.433260440826416
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.1055240631103516
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1807117462158203
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4790747165679931
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.1822743415832519
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.706729888916016
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.4878277778625488
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.138742208480835
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.2058181762695312
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4651837348937988
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.1873171329498291
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.539413690567017
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.429182767868042
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.1216883659362793
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1866374015808105
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4692790508270263
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.1922435760498047
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.715915679931641
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.4726779460906982
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.2058300971984863
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1968472003936767
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.5147795677185059
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.2048413753509521
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.7199225425720215
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.4395585060119629
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.1628901958465576
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1914122104644775
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4755408763885498
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.1870384216308593
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.440194606781006
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.3902497291564941
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.0627739429473877
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1833925247192382
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.455268383026123
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.1825182437896728
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.3918280601501465
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.3936605453491211
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.0605814456939695
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1754350662231445
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4394149780273437
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.1685137748718261
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.374735832214356
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.4178600311279297
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.0379443168640137
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1722946166992187
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4200668334960937
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.1711616516113281
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.411577939987183
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.4056625366210937
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.0682048797607422
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1729307174682617
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4235141277313232
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.2303526401519775
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.399149894714356
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.414456844329834
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.09324049949646
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1821250915527343
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4338922500610351
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.1682555675506591
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.4977898597717285
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.4042456150054931
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.0810935497283936
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1761248111724853
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4498491287231445
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.1836769580841064
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.651431560516357
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.4279863834381103
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.1122312545776367
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1801438331604004
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4440076351165771
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.2206208705902099
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.441236734390259
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.40106201171875
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.0584065914154053
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1819837093353271
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4240624904632568
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.1719691753387451
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.882764577865601
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.4378185272216797
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.1671733856201172
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.1884193420410156
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.5022242069244385
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.1952722072601318
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.6425769329071045
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.4487898349761963
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.2185187339782717
BWT-HMM,compressed_hypothetical_protein_test,0,Tad Berkery,0.2130556106567382
MLSE-Viterbi,compressed_hypothetical_protein_test,0,Tad Berkery,0.4817476272583008
BWT-HMM-Merging,compressed_hypothetical_protein_test,0,Tad Berkery,0.2431440353393554
BWT-HMM,hypothetical_protein_test,0,Tad Berkery,6.76082444190979
MLSE-Viterbi,hypothetical_protein_test,0,Tad Berkery,0.4257409572601318
BWT-HMM-Merging,hypothetical_protein_test,0,Tad Berkery,1.1784818172454834
